查询关键字,数据年份,发表日期,全部单位名称,作者名称,论文名称,来源期刊,刊次,分类号,页码,链接
中华民族现代文明世界意义的探究与把握,2025,2024.10.29,1.海南大学马克思主义学院;2.中国社会科学院大学马克思主义学院,殷越,中华民族现代文明世界意义的探究与把握,海南大学学报(人文社会科学版) ,No.04,G122;D61,[64-73],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdseqgob_OPwfA6qKHhEXyBmjcUG4QsRSVExesqPJqb6J9LRxSjcQ7NRg5jr7lYt0QHT_Cl322mnRFYMbM0BIqGzkUPevGzgZkrlKSXsvrsu29xB9DSO09o3tU0-mgsGzA8PQjBZ4krEckinfc_WPtKzln8wd8EVyKE3ek3uVHO7Q==&uniplatform=NZKPT&language=CHS
中学小语种课程开设的现状 、问题及建议,2022,2022.03.01,1.四川大学外国语学院;2.四川省教育科学研究院,谢宇;董洪丹,中学小语种课程开设的现状、问题及建议——基于四川省中学日语和西班牙语课程开设情况的调查分析,西南大学学报(社会科学版) ,No.02,G633.4,[177-183],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keAAVrX3bl6poOmZi4W4ZvyYS_3rystwNEeMI5P5zPadsg7cUfQScrHVBhfTAJDuhLl_h1bcgTBHWZcjtvvXXBRwHdK05zq-wbwigGvVPh20NELWJyRoL2xHIh1vPZotHDQj3qeJBHr3Hgaq4Dp9Azvucgn_dZA9pnskbQGGDsUEg==&uniplatform=NZKPT&language=CHS
论法治思维的规则,2025,2025.06.17,1.华东政法大学法律方法研究院;2.广西师范大学法学院,陈金钊;李德进,论法治思维的规则,中国社会科学 ,No.05,D920.0,[111-127+206-207],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcD1ZMNdZFTJjGgdt-ThcDaWikAMkJO8xhNK-tI0KAVuNli3111Ttaq-QJkzsiSyjc8dUzsW16jENQ9QIBAqvW3e69_5wcesm04wMzXnFi9VNQha-AjfK5o0giKyQNevXJjkrN-xQL-ZGHDPT4gz1ZIS5JtGtarFxPOQPCDsMpMMA==&uniplatform=NZKPT&language=CHS
论企业数据的行政合规,2025,2024.08.09,武汉理工大学法学与人文社会学院,李牧,论企业数据的行政合规,法学评论 ,No.01,D922.16;D922.1,[67-76],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdTTfuNJpccRC0CEKv1I-EUTi0m0UulNWkdWwbMwUcIe1Ev572tFzSZLa3IMIKxIFWYhoOzDcVlHlNSBsWQ6u6f3FbFfBcRGiSi8QrIv7kqJS_LN2LXg77hAfR_x2BuP1MogyY4LPnPfYil0i9uviKHWMpcOfi-VgaQFue6lbXQXQ==&uniplatform=NZKPT&language=CHS
我国数据知识产权登记制度试点改革路径研究,2025,2024.09.03,武汉理工大学法学与人文社会学院,孟奇勋;程伟佳;戴运,我国数据知识产权登记制度试点改革路径研究,科技进步与对策 ,No.12,D923.4,[151-160],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke5aSPl4LRAAKOm-D4VHIYMHuhaCZZoJ8vRvPF-SeedQk0E1868kAXiehG6Ux8ahNqf1ZS8bfu5LOUYX_u2OlxSHjVWf4r-70E3xmWA8AtL7MvZICdDsMXefxBPOH6_qbuLgEjyRY1cOII7f69Q2k2iTZNAAviVTNz6xYtOhgXbUA==&uniplatform=NZKPT&language=CHS
张志民年表下,2022,2022.06.08,,孔令云;刘光宇,张志民年表(下),新文学史料 ,No.02,K825.6;I206.7,[189-199],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcD5dRcqhOzVh8U_l8MnQ3Cwi_QKp80ZCvBsZiEIbD3KpbuuNIihSd44zsvkOiKZLtgqaB7UELNSQywIkk1okGmR_sgFjIZU7K1tNLXTCKw23UMBSWMt9qC5BiURnn0rtDcdIqUbEJyL04ses3VpCQGSJ04s-z_a69hhap94HUGMQ==&uniplatform=NZKPT&language=CHS
蒙古语名词性短语的类指和通指表达——兼论连类结构的通指和类指表达,2023,2023.04.19,浙江大学汉语言研究所,赫如意,蒙古语名词性短语的类指和通指表达——兼论连类复数结构的类指和通指表达,民族语文 ,No.01,H212,[43-54],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcoq9I7qW4DsGo8WaVF8Uo2VXatQVZuexCA6URnVpJjSU-qeojowXg34lXzlh4r1WS0V4g52bhzh-Ej8eRG8fkcHReD8sOPVqNUKlcreL-QSZxFNNl5Mm_M4NiqR6N-ryodMunXqsgDOqNGZTmVsJe6dSehg6nNwdcPdPlwTbrI3Q==&uniplatform=NZKPT&language=CHS
神圣与世俗：唐宋文士的佛教观转型,2024,2024.08.28,中央财经大学文化与传媒学院,司聃,神圣与世俗：唐宋文士的佛教观转型——评何复平《宋代文人的精神生活（960—1279）》,文艺研究 ,No.08,I206.2;B949.2;K242;K244,[148-160],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdz23cNyMsL5mNopR3sQpEMslxspxGEOGue55Fk0j88CLVLju0iuPQJn8mL7YLMKQHC9V7HuXaeA1W7TuRCqZH7CeQ4EEYT1V6WIYKC3s5hpLsQhEVQZ_VbLYIcS3QjydiZgvaQ0Kw20llnDaD_GVmQgDh8zYWmDU_9uBPeaN9lfQ==&uniplatform=NZKPT&language=CHS
空间的诗学——北京人艺《雷雨》舞台呈现的图像学分析,2020,2019.11.19,长春工业大学艺术设计学院,邸小松;王英立,空间的诗学——北京人艺《雷雨》舞台呈现的图像学分析,东北师大学报(哲学社会科学版) ,No.03,J824,[99-105],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcylWIlTEOT6Q0FWQoiZs87cgRTbJOQ3_wwMZ25DsgpnHK9kz4xuwkJJDftbxP5i2rOpX5MbL5NfPLEg-u_wfSowRIaJ6cX9t3K67tVl_KVevrjdAE4qbvv_2AruOoAes7znG5ef-IzOac5XqOaP9F5GDgCJ92maIUtOQdrfCcPNg==&uniplatform=NZKPT&language=CHS
法国汉学家冯秉正《中国通史》（上古史部分）中的古史翻译研究,2025,2025.04.01,浙江师范大学外国语学院,李婷,法国汉学家冯秉正《中国通史》（上古史部分）中的古史翻译研究,国际汉学 ,No.02,K207.8,[54-62+157],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keLM2YBBFtvc-705UkSntCuf0HxMRxyvScyK-CHbc1ipYF4zQAEdHaIx_aAsKe2Umb8o6tCPfyz-p4Ct1v75aEDfv5-RxEn011O6gjHScqSuJ8sNcGwXseHQYBlXjQbMyFF1wG2PkRDateGKr16IuOiAOXMqSLTGX9yX3mDYKvGTw==&uniplatform=NZKPT&language=CHS
动态轨迹、焦点议题与未来前景:体育投融资研究,2020,2020.05.13,杭州师范大学体育与健康学院,周勇,动态轨迹、焦点议题与未来前景:体育投融资研究,沈阳体育学院学报 ,No.03,G80-05,[100-106],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfrgoWydLhtFwfNgM62vYQUHI9ZlMjQ7tkwl1VVbOaWg6QNLQluIwP7kOwbwyDNqib39JhUTJPCohN9HQltWCKRNxORqztffTxGBr37Vo6gpVjz2mTFO3D7tuw6PxiduQOqH0TKmz_iqFgDvK9dl6FGP_Y5wRYqRMDmvlQoItWLng==&uniplatform=NZKPT&language=CHS
高田英树有关《马可·波罗行纪》的文献整理与研究,2025,2025.01.23,1.浙江师范大学外国语学院;2.浙江师范大学丝路文化与国际汉学研究院,金稀玉;沈瑜靖,高田英树有关《马可·波罗行纪》的文献整理与研究,国际汉学 ,No.01,G256;K928.6;K207.8;H36,[73-82+158],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke7QuuaI-TiX0tytvrgIiH-rLxNWN_nrPm6RxfzKbgQYGx_yOnpvVkKEM2hAtH2Xl8qyYLACcAbbUGqblU8W0Cq6sN5aTKJ__OaiF9ZLHZIyus9bnS7nkKOocaQasFvrTXbnxipRiXHaBkv3GSLqwfijC2Fwx1t0fK-37zybUIGTQ==&uniplatform=NZKPT&language=CHS
比赛距离和性别对世界精英自由泳运动员节奏策略的影响,2025,2025.03.28,1.杭州师范大学;2.上海体育大学,吕晓庆;吴昊源;洪乐雯;李明;李旭鸿,比赛距离和性别对世界精英自由泳运动员节奏策略的影响,中国体育科技 ,No.03,G861.11,[3-12],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdZxk2CrHrczN2rm3gpuo9PJqY_cYeF8JhGeLoGne9ha9p1SBph9CACte48dCaWAd9EuoTA-RaLfzsHWXQX-N8ry1_FpCuxYKf6vojzwctN7OrEWmdVVAUqZQGKfO645PGnXc7LlQf2YbGIKC2lHU6wXgqw3cT1ZDNGBubKDaFc5A==&uniplatform=NZKPT&language=CHS
涉农企业新质生产力发展:理论分析与绩效测度——来自沪深A股涉农上市企业的证据,2025,2024.11.18,三峡大学经济与管理学院,张晓燕;徐汇南,涉农企业新质生产力发展：理论分析与绩效测度——来自沪深A股涉农上市企业的证据,河南师范大学学报(哲学社会科学版) ,No.03,F324,[64-71],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfJ5Sh_z4zFGH1U3YI2fao1gCUik7FoOxE8pBYVOO8XGik96Dp7aoPJoX3DPAJY6feOsIoDccVGCa1l9llBUxv9CyhxCJK8e4zFYHUSyL1Y3mmXERjWgywfA_Gh6pmcMbV-6txV0Wq1HJ9TFjThHymKliuqNxfuRoE4WZxtvRbsjA==&uniplatform=NZKPT&language=CHS
“众包”平台公示成功创意有助于用户创新吗？,查看该刊,2024.06.17,1.华东政法大学商学院;2.上海政法学院经济管理学院;3.安徽财经大学工商管理学院,杨光;王晓卓;汪立,“众包”平台公示成功创意有助于用户创新吗？ 网络首发,南开管理评论 ,,F273.1;F274,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kefYTF__r6c6tVDHOuXRrAizzPdDidF_f8U9XeBcwt7OVCIu5x4hTpgnzKF0V7KHM8z5h2YSlF71mp4McSZ7x-NK5bXGLEXwM6NDK9qJWXcePc4HwN1_c0aLOCRdSoUhB6gpM5inCxfab2yQYXWPaMK2DionOQNRjVm59OLsX43qg==&uniplatform=NZKPT&language=CHS
乡村振兴与传统手工艺的创造性转化——以黄梅挑花为例,查看该刊,2024.08.09,湖北大学艺术设计学院,周禺,乡村振兴与传统手工艺的创造性转化——以黄梅挑花为例 网络首发,中南民族大学学报(人文社会科学版) ,,TS935.1;J523.6,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfH4q8ryFcXplkF3_qK8yIOUT7BOj3oNEOHltctZvjWgmiFnZ8Xj6g4vncc_XsSHJWu-Gb1jngjqzUKF9KjZ5zjFztkTJSkGBU2YVuac_GwI3sriz9Lk6wfU-0TIwKLhRUownix_OYB_fOs4pme5rrcraNAoBD_-kPherzY1Y1V-A==&uniplatform=NZKPT&language=CHS
气象美学导论,2020,2020.01.17,1.广岛大学;2.湖北大学外国语学院,青木孝夫;梁青,气象美学导论,湖北大学学报(哲学社会科学版) ,No.01,P4,[32-42+171],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdJ_71BMdYwbfiy9mG_1o7QhmiL4J6WM0HT8bl58Zit2KrEUMacnVvdVUPc0PnI6tw9Taf288YKjnsIIcaLxleCRD495uN0cTowYJwXSjh6s3dM7nivMXWZzVyJPqUGG08UMeTY_EJO87VIdEmrGzg9QqER9dIWQiv7hR_dDpcRAA==&uniplatform=NZKPT&language=CHS
传统农具的数字化保护与活化传播策略研究,2024,2024.12.30,青岛理工大学,金燕;宋璇;杨真;何炯慧;吕喆,传统农具的数字化保护与活化传播策略研究,上海视觉 ,No.03,K875.1;TP399,[82-87],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcmnmcuY-CnRk2vCMugwx8QmzLvPdmxujQU9e30SJRuW1Dc4GUrbA839GYxPx7u1_3Idq6HEWwDMAn4UGDTst3jNrsRFIHyYiRx-UAtgNRPDM4zk2iBOnrUK2f9KQFU6QAohVVhCL5Qtepu1R7zxqBTvYhBhVXFOKzny5L2nIWHtQ==&uniplatform=NZKPT&language=CHS
数智时代高校体育资源云服务平台构建研究,2024,2025.06.09,吉林大学体育学院,梁城铭,数智时代高校体育资源云服务平台构建研究,情报科学 ,No.12,G807.4;TP399,[176-180+190],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdI1w2ATvSoddL7AapDKEUbLjmAU9TJaGJRmliHd_ojtjwS5V68hhNY8c0baWQVYzEznF7XQJePzIuV0jBAVLYcB4EgqLTQqP44QeEH2wIjdr3tR9-FJJcFAzYS9NbUWSuPJ4kheU913cJNGwhTewlEg3bnYbPRFr4fCaR_BmiSaQ==&uniplatform=NZKPT&language=CHS
国图藏《魏书》纸背文献所见元代军官承袭程序——兼论元代的怀孟万户府与常州万户府,2023,2023.02.03,1.山东师范大学齐鲁文化研究院、历史文化学院;2.邯郸学院地方文化研究院,杜立晖;郭兆斌,国图藏《魏书》纸背文献所见元代军官承袭程序——兼论元代的怀孟万户府与常州万户府,文史哲 ,No.01,E291;D691;K247,[90-104+166-167],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keLdTntBbu5Bw7nUVJtRO4DS3y5Lvo61nFP1X4hVXpf9Ufl5Q-1Xe2j8TACX_W4LMbtOCYH5RN8Ylq23roRXT8YU10mcVqmlKwT-eP26sZDcFw69-BkKQHL6nT4iWdNwrhwWBcSHcSqQblCMc42OD0v3-pIRxXSXTLCuxvr7wM4og==&uniplatform=NZKPT&language=CHS
中华民族共同体建设与人类文明新形态,2023,2023.03.30,华中师范大学马克思主义学院,魏大江,中华民族共同体建设与人类文明新形态,中南民族大学学报(人文社会科学版) ,No.03,D61,[36-45+182],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfEv-rKdn7lVtms0Fp0suaAALDECL_c4ml9le98WzHfBlnINEJPNG2JlB9P0fVnJMzn76UN-6q_-RnXkgId6dmN60txHaNPxQc-NdGVRN7L3Iuh7DGdREVJfRYoj2gegie7zi6P8QwzdWkOGXln1MWJpKiXJPa6NLrEdsz8nJYblA==&uniplatform=NZKPT&language=CHS
短视频作品独创性判断标准论,2019,2020.02.05,三峡大学法学与公共管理学院,周灿,短视频作品独创性判断标准论,中国出版 ,No.24,D923.41,[61-64],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdbhBTwTPSgDO2v7SDtlTVlSmAfnreWgDbabWrsFC6cjUKZUjDoi24xw3L2h_vghaDpVC3oX5CpDc5luG71OdMTF-huccexV_DdCw8rbakTNCJallA7cGzGumfIcJah9agRnOX6Vi8JeTmQEKjNOI_JfI2TDn3ZAnXv7WXAbpkT3w==&uniplatform=NZKPT&language=CHS
党的自我革命永远在路上,2025,2025.05.09,,史锋;李霞,党的自我革命永远在路上,新湘评论 ,No.08,D262.6,[33-34],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdYJNGrWt7zPhw_breDiPMNZifk69K39_Tuy8CitDyA3g4FpcRUW65HNUzNHmLL-d5y6BHN0h1T6Ps8sAyeTn-Gh7BFiC7Y_3Ay3u6Vs4s0PCK0fdDUJNm4Okvez7H_wgtN9OVsGoGyLLVM0tssrX0hi1hIOZHbNYvI77RBPa6hbg==&uniplatform=NZKPT&language=CHS
灵性景观、公共权威与空间生产——老挝乡村社会中的共同体精神,2021,2021.08.05,1.北京外国语大学亚洲学院;2.北京中外文化交流研究基地,苏世天,灵性景观、公共权威与空间生产——老挝乡村社会中的共同体精神,西北民族研究 ,No.03,D733.4;C912.82,[91-109],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfg365L6_5Hgu9QWzfbTE0NUMtS29gtd15ub-ae7vNz2fbYqCxOT-1s8axFeK_eD4DSsJsYRGFB17QyoR8Xp1Nqvj7AvKeFy0gtwxylH-KoTbHW1jaXCPFnI3DM2JB7bXnxoUkAWGMGu20azp41CCtjWukRXJpfKTsrL3omoJnHUw==&uniplatform=NZKPT&language=CHS
传统文化复兴与老挝乡村的现代化转型——以老挝灵性文化传统的“复魅”为主线,2022,2023.01.18,北京外国语大学亚洲学院外国语言文学博士后流动站,苏世天,传统文化复兴与老挝乡村的现代化转型——以老挝灵性文化传统的“复魅”为主线,东南亚研究 ,No.06,G133.4;D733.4,[26-46+154],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcaxwNZs8UvkiR_Ue7ENVDVp6AHbtG1VaU_2y5ZeaQ5u0fAF5XpCv8MgSJMhoa9q7-F4jRhZbFD_2I5CRI3qmdxsQ-aFY3NUaAGpWBt2kseu9vAWtW08dIpGWoTreExC1SNK6U8mh2iOK8yY2KU4HlIDIqCRc8o5IEVuDkNmhvlWg==&uniplatform=NZKPT&language=CHS
向家坝水库典型出库流量对宜宾江段溢油扩散规律影响研究,2023,2023.02.22,1.三峡水库生态系统湖北省野外科学观测研究站;2.三峡大学水利与环境学院;3.中国长江三峡集团有限公司长江生态环境工程研究中心;4.中国长江电力股份有限公司智慧长江与水电科学湖北省重点实验室,张青森;戴凌全;任玉峰;汤正阳;戴会超,向家坝水库典型出库流量对宜宾江段溢油扩散规律影响研究,长江流域资源与环境 ,No.01,X52,[172-182],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcC7ddNO9iJE1GpUuuugXyF4wJVuXiSEENZMZzpW_Q7jVFO7SkRIS3P_Tp4SpjGs3YFBZw8p6ArkDMVYYaNMoHgcLHUYnOpcTI0REzijJJwdQYUBhwoc3lK00bIKODlBlVECKpLG1WUA8L5-mSUUStaEho1R1PRr5EDtdigL2peqQ==&uniplatform=NZKPT&language=CHS
数据治理与政府统计现代化,2024,2024.08.28,,李金昌;李晶,数据治理与政府统计现代化,统计研究 ,No.08,C829.2;D630;F49,[7-14],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf4POAgYLvFcK_6NnCytuftrjgiFmdsKJiT1T3KqyvuOAIWIjzFn1_Z8-1Y119Mt9bAjzvO1Dm-Qx3Xbfv0jZjmvgHctAwXIJ3GCaepRzHQTEfE4dFF74tjOn3JBY2gsDxgCNXQQCJH_M30tgNORRhwwxSUBCf9kBnFyG3x8hxBXQ==&uniplatform=NZKPT&language=CHS
中国人社会善念的心理结构,2021,2021.07.23,1.北京教育科学研究院北京市教育督导与教育质量评价研究中心;2.北京师范大学心理学部应用实验心理北京市重点实验室心理学国家级实验教学示范中心(北京师范大学);3.北京体育大学心理学院,田一;王莉;许燕;焦丽颖,中国人社会善念的心理结构,心理学报 ,No.09,B848,[1003-1017],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfB6KRdT739zn7cwoqWTo7N-E78zMHG4bwUu8nDKfEuNY-Asz4NuIsXXtckNavCwIsUQOC49-zt7JjE609KSrX-TojTceZAhSSs6HVaLrKQET42RCOtMCyfmNOo88vS4L1E9vJ5c8DZi0XXt4a63UCUYAbKUfgOR9wQGF1xWgEAkQ==&uniplatform=NZKPT&language=CHS
导师对研究生道德行为培养的影响机制研究——基于道德领导力理论视角,2021,2021.07.15,1.中国青少年研究中心;2.北京航空航天大学马克思主义学院;3.深圳大学经济学院,郑浩;吴东姣;张印鹏,导师对研究生道德行为培养的影响机制研究——基于道德领导力理论视角 撤回,学位与研究生教育 ,No.06,G643.1,[48-56],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke2hBvw4aG95yD13lncnZJ5MKGCHPLjbjrUsnLLbm2sp5ANEYV1Kls3Xt5tJGyHq-7AKyk1x2Rq6yGiPTp7C7Pq-I3Wisy8VHf96EwovLGNw2k_Fq7eHflImCkkcJD8EuzLF3uSi68llhvqzbiLTDXAY2bAY1plh60pghN0W301fQ==&uniplatform=NZKPT&language=CHS
数字化与会计学研究： 新理论、 新问题与新方法——— “数字化与会计： 重构未来” 国际学术研讨会会议综述,2022,2023.04.27,厦门大学管理学院/会计发展研究中心,袁红;陈雪颖;熊枫;刘峰,数字化与会计学研究：新理论、新问题与新方法——“数字化与会计：重构未来”国际学术研讨会会议综述,会计研究 ,No.11,F232,[183-189],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdq6UHGyoA_bZrVeWbta1a3Jwa10gj0QZqOMmzDGt_akiaAxANIMxFz17L6ck4PJmD05bigIh46WiEfPi_4iti6Deel9cp6ekkNLhAmZwWRAvgVQj1EjAYpzyiZ_jA4IDJ2rFbd4nWSrZTLQi4vgXKx6AUk3nrCaq44em1Up0gGdg==&uniplatform=NZKPT&language=CHS
中国科技体制改革中的组织身份变革,2022,2022.03.18,南京大学商学院,肖咪咪;卢芳妹;贾良定,中国科技体制改革中的组织身份变革,管理世界 ,No.03,F124.3,[106-125],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keo3mPlgBD--QKZRmoC-Lq9ybZcNlORNP3oUHP3Q1T5QP4Xn4GYUgA_rGx4wWoK6f3wwEZHmWJnqQUen9ZLOzK6RBUJEC21wuvfo0pOySByakd_hLTZvEqMnyT4uIoxLBkiyC9Uh_eNoocYVlrFiSiNzZE36fyyvLktXXOu0YQJfw==&uniplatform=NZKPT&language=CHS
中国“一带一路”投资对降低沿线国家气候风险的影响,2024,2024.03.15,1.中国社会科学院中国边疆研究所;2.厦门大学管理学院中国能源政策研究院,初冬梅;吴微,中国“一带一路”倡议投资对降低共建国家气候风险的影响,中国人口·资源与环境 ,No.01,P467;F125,[11-22],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kddIdjwhjpXvfUfFZWYBLJR5E7DIqnCQbxGMrH28GTvMSbh5-JxQ_mx5mqbtk52rk0MqRcwWauORy_G0drPhp6ualHaJtdS4eyXvHiCFzs_5z3d3ulye8uLSesnMQ_FMbqZRtYj5F44xoxQqmnBEHY-aM7uYo-y2bL12CJ_Gk8A2Q==&uniplatform=NZKPT&language=CHS
社会网络嵌入对高端装备制造业企业协同创新的影响:基于产业联盟关系的作用,2024,2024.08.27,1.哈尔滨工程大学经济管理学院;2.清华大学社会学系,肖振红;史建帮;李晓萌,社会网络嵌入对高端装备制造业企业协同创新的影响:基于产业联盟关系的作用,工程管理科技前沿 ,No.04,F273.1;F426.5,[54-61],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keyRdAC-70DL4zWIFLQoMxGp6WGK1Asmy845iJwzhyKjm1LtVNfVFI_42LC6phxn3RbrmsCByLJBIiU-lpQgtaUmb3OHqXz-g2ykzSaQh5xytus9ymvYhaiu8HmLk8uB2iqdujMsP0NfkxC3Z5UN1O_kBz6u9r12dZv8oLKFOpcBg==&uniplatform=NZKPT&language=CHS
基于华为鸿蒙的开源社区多样化协作模式研究,2024,2023.06.07,1.浙江省新型重点专业智库浙江工业大学中国中小企业研究院;2.厦门大学管理学院;3.中国传媒大学计算机与网络空间安全学院,李兰花;郭艳婷;钟宇琢,基于华为鸿蒙的开源社区多样化协作模式研究,科学学研究 ,No.07,TP311.52,[1461-1471],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcuI4x5JzNM5A25aPjlxDcHJF82Te_Nd986JbGh6dtwQr0iaI5vU8EMlmPKaTpSVPb910CzvxhWaWSWPQ4weQ9_uBoipSRYtjOxeXSF9Bkmx3nIVVxbSF5_F7LWvz6HLRrYyFn_5Nv2j9gkIzEAhZAvRyUmlrKdPAzeEn0-qtmdUA==&uniplatform=NZKPT&language=CHS
共享的力量：共同机构投资者与股价同步性,2024,2025.01.16,1.南京理工大学经济管理学院;2.厦门大学管理学院;3.中南财经政法大学会计学院;4.闽南师范大学商学院,李玉敏;吴晓晖;秦利宾;朱磊;柯艳蓉,共享的力量：共同机构投资者与股价同步性,管理科学学报 ,No.11,F832.51,[78-101],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke1tJfwUoXUQxG2JZ4XdFDYq5AhMjsBLjYl9YCNCroYmRwJQze0ARwOZOTzEL4Hg-QSbLsaEpJjgr8VjOuH9lPof1NgHxklo-MESdt9oB-gpBNijm5meJCTxLlyvj0FrdCOdmvFyhrY94w9Why6r3FjiH779uosoZX--UOA_nPZSQ==&uniplatform=NZKPT&language=CHS
永井荷风《断肠亭日乘》中的“现代日本”批判,2021,2022.01.09,复旦大学外文学院,王升远,永井荷风《断肠亭日乘》中的“现代日本”批判,外国文学研究 ,No.06,I313.06,[105-116],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfAvGh7_86WJvPIR6diCiCF0e7rWOHX4_jUaB5BmW_sQi6qEM-PLxv5oz8qaFuSyANI7L_ikAeLAwzSlGNNveLiiVe1gjNXRDFlTgTTQh7Qi7cGtXP9cEseQJc6SbUiIlepqBoIJ7YF4YLQFzPSRpMONfLdouLmBqclESxVb2_OdA==&uniplatform=NZKPT&language=CHS
在理想与现实之间：一个有机农场的劳动过程研究,2021,2021.09.17,浙江财经大学社会工作系,卢成仁,在理想与现实之间：一个有机农场的劳动过程研究,思想战线 ,No.05,F014.2;F30,[18-28],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdewPrjziAqgXAi4Jeq2jGHQ1vtDxKH6VUhEOkggi2c_ntczOM8dtsR4JJ538-5-HkHJTq-5Oe9RgvVG1Q86C-nc-TSsWVUpAMAPz8jCLdY0OhdCUhhwuE-NFjoS3xe9MNQ9-feiMWUawj35VsJvLskFaDIiEVObg29sRffmoEtrg==&uniplatform=NZKPT&language=CHS
基于策略消费者行为的动态定价与降价时机选择,2024,2022.09.23,1.青岛农业大学经济管理学院;2.中国海洋大学经济学院,蔺康康;刘新民;王垒,基于策略消费者行为的动态定价与降价时机选择,中国管理科学 ,No.10,F274,[224-233],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kegyzCz8CCp-e-d5ztX63iRp33P_tuUIGQD0aQc3W3SLXPghrxM-CVyAVY-qxz1pUzPzlGm7TBTmiRa7kQVDg8hFqluOsUAYUOPTbIspCfHuwrnqQKraZs4ZuNY9FtSX4ugVlRMM_aA4h9zuQDopBldVl1FpWNzqZUdtLEtqy1Erg==&uniplatform=NZKPT&language=CHS
中国城市生活垃圾处置状况及治理研究,2022,2021.11.02,1.厦门大学社会与人类学院;2.南昌大学玛丽女王学院;3.上海交通大学外国语学院,龚文娟;赵曌;BUTT A W,中国城市生活垃圾处置状况及治理研究,海南大学学报(人文社会科学版) ,No.03,X799.3,[90-99],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdsbwgWh1v8kKTo2s3pKh1TrcWmmvbqbEObigH1NTVB10CUJK2kinkVk_fFO-pyquhtWhWL1nzysNOGNqn5EQoVJAWT-JsWrMYmBR2ee8SHuamGirgptfGOlPAdkIwuFKD6E-2ncHfSrOfcTnlU1cCyfH6_pWhDAD4sBKeAH_ONIw==&uniplatform=NZKPT&language=CHS
社区秩序形态的变迁与元治理秩序的形构——基于Z市两个住宅小区的案例研究,2021,2021.10.08,中山大学社会学与人类学学院,李学斌;黄晓星,社区秩序形态的变迁与元治理秩序的形构——基于Z市两个住宅小区的案例研究,学术论坛 ,No.03,C912.8,[87-98],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcMLnGRpirR2-O7G7L-afw2yvAcQK2cDl6IF-esPjHeH6CDiD2kAMGh2OPXVU9QoUiexhNQnYaFfadEth54RDvzi4R-Qkr-xxzXuOcoP7dXTY4tsncez6h1ht8HCvccDdOOoTCinDJIrEOaeglRvuiKXum30mYqXHmivos2joFrOg==&uniplatform=NZKPT&language=CHS
